tenpo_id,tenpo_name,status,place_id,phone,address,fields
TENPO#0028,神楽坂店,NO_MATCH,,,,
TENPO#0032,麺と肴　担々麺 ペン坊,NO_MATCH,,,,
TENPO#0121,油そば 雷神 店舗未設定,NO_MATCH,,,,
TENPO#0106,オイスター&珍味 bar 不夜城,NO_MATCH,,,,
TENPO#0026,高円寺店,NO_MATCH,,,,
TENPO#1721497a1c33,N2,NO_MATCH,,,,
TENPO#0024,中野製作所 まんてん別館,NO_MATCH,,,,
TENPO#0020,モンキーツリー 店舗未設定,NO_MATCH,,,,
TENPO#0079,inu to hito,NO_MATCH,,,,
TENPO#0114,三軒茶屋本店,NO_MATCH,,,,
TENPO#0087,渋谷店,NO_MATCH,,,,
TENPO#0125,宮崎辛麺　辛麺屋一輪,NO_MATCH,,,,
TENPO#0139,日本橋玉ゐ本店,NO_MATCH,,,,
TENPO#0011,東陽町店,NO_MATCH,,,,
TENPO#0086,神田店,NO_MATCH,,,,
TENPO#0112,板前寿司愛宕店 店舗未設定,NO_MATCH,,,,
TENPO#0069,高円寺ガード下店,NO_MATCH,,,,
TENPO#0097,本店,NO_MATCH,,,,
TENPO#0132,atomic BAR,NO_MATCH,,,,
TENPO#0127,マッスルボディメイク,NO_MATCH,,,,
TENPO#0009,SMITH BURGER CLUB,NO_MATCH,,,,
TENPO#0088,王子店,NO_MATCH,,,,
TENPO#0095,カイロライン 国分寺整体院,NO_MATCH,,,,
TENPO#0120,発酵デリカテッセンカフェテリアKouji&ko,NO_MATCH,,,,
TENPO#0021,代々木店,NO_MATCH,,,,
TENPO#0122,ロケ弁エージェント 店舗未設定,NO_MATCH,,,,
TENPO#0138,渋谷店,NO_MATCH,,,,
TENPO#0089,北千住店,NO_MATCH,,,,
TENPO#0124,桜ヶ丘店,NO_MATCH,,,,
TENPO#0081,工場,NO_MATCH,,,,
TENPO#0006,本店,NO_MATCH,,,,
TENPO#0104,Japanese Bar　猪鹿蝶,NO_MATCH,,,,
