tenpo_id,tenpo_name,status,place_id,phone,address,fields
TENPO#0101,新橋総本店,NO_MATCH,,,,
TENPO#0110,MASSIMOTTVIO 店舗未設定,NO_MATCH,,,,
TENPO#0108,御座敷天婦羅　神楽坂 天孝,NO_MATCH,,,,
TENPO#0083,本店,NO_MATCH,,,,
TENPO#0023,中野店,NO_MATCH,,,,
TENPO#0085,大森店,NO_MATCH,,,,
TENPO#0053,新橋店,NO_MATCH,,,,
TENPO#0084,大井町店,NO_MATCH,,,,
TENPO#0078,新橋本店,NO_MATCH,,,,
TENPO#0123,神田小川町店 店舗未設定,NO_MATCH,,,,
TENPO#0042,麹町店,NO_MATCH,,,,
TENPO#0014,渋谷店,NO_MATCH,,,,
TENPO#0063,大衆串焼き酒場こがね,NO_MATCH,,,,
TENPO#0010,神田店,NO_MATCH,,,,
TENPO#0076,焼肉 松の屋,NO_MATCH,,,,
TENPO#a5ac0abc6dfe,N2,NO_MATCH,,,,
TENPO#0068,神田南口店,NO_MATCH,,,,
TENPO#0082,別館,NO_MATCH,,,,
TENPO#0102,新橋バーラウンジ御殿,NO_MATCH,,,,
TENPO#77f42e59665b,N,NO_MATCH,,,,
TENPO#0017,麹町店,NO_MATCH,,,,
TENPO#0027,水道橋店,NO_MATCH,,,,
TENPO#0036,ルミネ立川,NO_MATCH,,,,
TENPO#0067,平和台店,NO_MATCH,,,,
TENPO#0080,Mahaloh Import Shop,NO_MATCH,,,,
TENPO#0034,本店,NO_MATCH,,,,
TENPO#0111,すし土風炉 登戸店,NO_MATCH,,,,
TENPO#831c7b195bff,DEMO店舗,NO_MATCH,,,,
TENPO#0134,丸鶏 るいすけ 店舗未設定,NO_MATCH,,,,
TENPO#0115,神楽坂店,NO_MATCH,,,,
TENPO#0059,ニューサカナヤキオ,NO_MATCH,,,,
TENPO#0038,青山店,NO_MATCH,,,,
TENPO#0094,渋谷店,NO_MATCH,,,,
TENPO#0004,横浜元町 de 焼肉DOURAKU(どうらく),NO_MATCH,,,,
TENPO#0052,錦糸町店,NO_MATCH,,,,
TENPO#0019,火鍋 小肥羊 銀座店,NO_MATCH,,,,
TENPO#0039,渋谷店,NO_MATCH,,,,
TENPO#0031,鮨 輝らく,NO_MATCH,,,,
TENPO#0137,日比谷店,NO_MATCH,,,,
TENPO#0090,渋谷店,NO_MATCH,,,,
TENPO#0054,トオダ,NO_MATCH,,,,
TENPO#0093,上野御徒町店,NO_MATCH,,,,
TENPO#5b717b368c13,N3,NO_MATCH,,,,
TENPO#0018,西新宿店,NO_MATCH,,,,
TENPO#0060,大衆寿司酒場こがね,NO_MATCH,,,,
TENPO#0072,日本橋浜町,NO_MATCH,,,,
TENPO#001,サンプル店舗,NO_MATCH,,,,
TENPO#0055,マンモス,NO_MATCH,,,,
TENPO#0116,西麻布店,NO_MATCH,,,,
TENPO#56e31712a04f,N2,NO_MATCH,,,,
TENPO#0002,ネパール・インド・チベット料理　maya 店舗未設定,NO_MATCH,,,,
TENPO#0029,日本橋茅場町店,NO_MATCH,,,,
TENPO#0119,市川店,NO_MATCH,,,,
TENPO#0043,新宿店,NO_MATCH,,,,
TENPO#0003,西谷店,NO_MATCH,,,,
TENPO#0051,大井町店,NO_MATCH,,,,
TENPO#0049,新河岸駅前店,NO_MATCH,,,,
TENPO#0007,https://www.notion.so泉岳寺駅前店,NO_MATCH,,,,
TENPO#0065,THE MARK GRAND HOTEL,NO_MATCH,,,,
TENPO#0071,大勝軒まるいち 新宿東南口店,NO_MATCH,,,,
TENPO#929013d906f5,N,NO_MATCH,,,,
TENPO#0103,Bar ANIME HOLIC アニメホリック goldengai,NO_MATCH,,,,
TENPO#0035,ららぽーと横浜,NO_MATCH,,,,
TENPO#0129,米と魚　さかなさま,NO_MATCH,,,,
TENPO#0070,新橋店,NO_MATCH,,,,
TENPO#0117,ZANGIRI Next 店舗未設定,NO_MATCH,,,,
TENPO#0136,新虎通りcore店,NO_MATCH,,,,
TENPO#0074,たまき新宿2代目店,NO_MATCH,,,,
TENPO#100779b870b1,N2,NO_MATCH,,,,
TENPO#0033,とく山 店舗未設定,NO_MATCH,,,,
TENPO#0109,隣のロッヂ,NO_MATCH,,,,
TENPO#0041,らぁ麺はつ穂 店舗未設定,NO_MATCH,,,,
TENPO#0075,新宿東口駅前スタジアム,NO_MATCH,,,,
TENPO#0044,新橋店,NO_MATCH,,,,
TENPO#0012,新小岩店,NO_MATCH,,,,
TENPO#0016,渋谷駅前店,NO_MATCH,,,,
TENPO#0100,新橋2号店,NO_MATCH,,,,
TENPO#0131,片山鶏肉店,NO_MATCH,,,,
TENPO#0062,大衆焼肉酒場こがね,NO_MATCH,,,,
TENPO#0098,新橋店,NO_MATCH,,,,
TENPO#0022,中目黒本店,NO_MATCH,,,,
TENPO#0058,ニューイブシオ,NO_MATCH,,,,
TENPO#0057,弐,NO_MATCH,,,,
TENPO#0061,大衆寿司酒場 こがね商店,NO_MATCH,,,,
TENPO#0107,とんかつさくら,NO_MATCH,,,,
TENPO#0005,ただいま変身中,NO_MATCH,,,,
TENPO#0040,五反田店,NO_MATCH,,,,
TENPO#0135,横浜店,NO_MATCH,,,,
TENPO#0030,蕎麦割烹居酒屋　更科天狐,NO_MATCH,,,,
TENPO#0096,新橋店,NO_MATCH,,,,
TENPO#0066,赤塚店,NO_MATCH,,,,
TENPO#0064,竹祥,NO_MATCH,,,,
TENPO#0025,大塚店,NO_MATCH,,,,
TENPO#0050,ホルモンのマンモス 店舗未設定,NO_MATCH,,,,
TENPO#0133,赤坂店,NO_MATCH,,,,
TENPO#0099,はなれ新橋3号店,NO_MATCH,,,,
TENPO#0113,工場,NO_MATCH,,,,
TENPO#0013,池袋東口店,NO_MATCH,,,,
TENPO#0037,ラゾーナ川崎,NO_MATCH,,,,
TENPO#0128,ビストロ エヴォルテ,NO_MATCH,,,,
TENPO#0015,池袋店,NO_MATCH,,,,
TENPO#0047,南口店,NO_MATCH,,,,
TENPO#0045,平河町店,NO_MATCH,,,,
TENPO#0056,新橋本店,NO_MATCH,,,,
TENPO#0091,水道橋店,NO_MATCH,,,,
TENPO#0092,上野駅前店,NO_MATCH,,,,
TENPO#0077,ようさい,NO_MATCH,,,,
TENPO#0105,ディストピアBar KARMA　カルマ,NO_MATCH,,,,
TENPO#0130,渋谷円山町店,NO_MATCH,,,,
TENPO#0048,代々木店,NO_MATCH,,,,
TENPO#0008,蕨店,NO_MATCH,,,,
TENPO#0046,ラゾーナ川崎店,NO_MATCH,,,,
TENPO#0118,サイゴンキッチン,NO_MATCH,,,,
TENPO#0001,maya 五反田店,NO_MATCH,,,,
TENPO#0073,立呑 富士屋本店,NO_MATCH,,,,
TENPO#0126,Aphrodite　アフロディーテ（ニューハーフバー）,NO_MATCH,,,,
