file_name,file_size,score,strategy,tenpo_id,tenpo_name,torihikisaki_id,torihikisaki_name,zip_path
立呑 富士屋本店 _ミセサポ利用者登録申込書.docx,11097,92.0,tenpo,TENPO#0083,本店,TORI#0041,ニーハオ食品株式会社,店舗ごと契約書/株式会社ダイニング富士屋本店 pdf/立呑 富士屋本店 _ミセサポ利用者登録申込書.docx
油そば 雷神 市川店_利用者申込書.docx,152498,92.0,combo,TENPO#0119,市川店,TORI#0059,株式会社雷神,店舗ごと契約書/株式会社雷神/油そば 雷神 市川店_利用者申込書.docx
ニーハオ食品株式会社_ミセサポ利用者登録申込書.docx,11129,92.0,torihikisaki,TENPO#0083,本店,TORI#0041,ニーハオ食品株式会社,店舗ごと契約書/ニーハオ食品株式会社/ニーハオ食品株式会社_ミセサポ利用者登録申込書.docx
北海道らーめん　みそ熊　北千住店_ミセサポ利用者登録申込書.docx のコピー.docx,11337,92.0,tenpo,TENPO#0089,北千住店,TORI#0043,株式会社 GRAST,店舗ごと契約書/株式会社 GRAST/北海道らーめん　みそ熊　北千住店_ミセサポ利用者登録申込書.docx のコピー.docx
ラ・フェス　神田小川町店_利用者申込書.docx,10469,92.0,torihikisaki,TENPO#0123,神田小川町店 店舗未設定,TORI#0063,ラフェス,店舗ごと契約書/ラ・フェス/ラ・フェス　神田小川町店_利用者申込書.docx
ニーハオ神田店_ミセサポ利用者登録申込書_.docx,11151,92.0,tenpo,TENPO#0010,神田店,TORI#0009,株式会社ティーアンドティー,店舗ごと契約書/ニーハオ食品株式会社/ニーハオ神田店_ミセサポ利用者登録申込書_.docx
マッスルボディメイク_利用者申込書.docx,10573,92.0,tenpo,TENPO#0127,マッスルボディメイク,TORI#0067,株式会社マッスルボディメイク,店舗ごと契約書/株式会社マッスルボディメイク/マッスルボディメイク_利用者申込書.docx
渋谷店 カラオケパセラ_利用者申込書.docx.docx,10624,92.0,tenpo,TENPO#0014,渋谷店,TORI#0011,GOSSO株式会社,店舗ごと契約書/株式会社ニュートン/渋谷店 カラオケパセラ_利用者申込書.docx.docx
上野御徒町店 カラオケパセラ_利用者申込書.docx.docx,10640,92.0,tenpo,TENPO#0093,上野御徒町店,TORI#0045,株式会社ニュートン,店舗ごと契約書/株式会社ニュートン/上野御徒町店 カラオケパセラ_利用者申込書.docx.docx
宮崎辛麺　辛麺屋一輪_利用者申込書.docx,10497,92.0,tenpo,TENPO#0125,宮崎辛麺　辛麺屋一輪,TORI#0065,株式会社FELICE,店舗ごと契約書/株式会社FELICE/宮崎辛麺　辛麺屋一輪_利用者申込書.docx
上野駅前店 カラオケパセラ_利用者申込書.docx.docx,10637,92.0,tenpo,TENPO#0092,上野駅前店,TORI#0045,株式会社ニュートン,店舗ごと契約書/株式会社ニュートン/上野駅前店 カラオケパセラ_利用者申込書.docx.docx
麹町店 デイジイ_利用者申込書.docx,10498,92.0,tenpo,TENPO#0042,麹町店,TORI#0022,メティウスフーズ,店舗ごと契約書/株式会社デイジイ/麹町店 デイジイ_利用者申込書.docx
西新宿店 デイジイ_利用者申込書.docx,10501,92.0,torihikisaki,TENPO#0017,麹町店,TORI#0012,株式会社デイジイ,店舗ごと契約書/株式会社デイジイ/西新宿店 デイジイ_利用者申込書.docx
CONA 千葉駅前店_利用者申込書.docx,10501,92.0,tenpo,TENPO#77f42e59665b,N,TORI#950551f38416,T,店舗ごと契約書/株式会社INGS/CONA 千葉駅前店_利用者申込書.docx
やきとり大吉 桜ヶ丘店_利用者申込書.docx,10550,92.0,tenpo,TENPO#0124,桜ヶ丘店,TORI#0064,ダイキチシステム㈱,店舗ごと契約書/ダイキチシステム株式会社/やきとり大吉 桜ヶ丘店_利用者申込書.docx
Aphrodite(ニューハーフバー)_利用者申込書.docx,10463,92.0,torihikisaki,TENPO#77f42e59665b,N,TORI#950551f38416,T,店舗ごと契約書/合同会社SKTC/Aphrodite(ニューハーフバー)_利用者申込書.docx
蕎麦割烹居酒屋　更科天狐_利用者申込書.docx,10521,92.0,tenpo,TENPO#0030,蕎麦割烹居酒屋　更科天狐,TORI#0017,株式会社エイトシナジー,店舗ごと契約書/株式会社エイトシナジー/蕎麦割烹居酒屋　更科天狐_利用者申込書.docx
ワイン食堂がっと 渋谷円山町店_利用者申込書.docx,10438,92.0,combo,TENPO#0130,渋谷円山町店,TORI#0070,株式会社がっと,店舗ごと契約書/株式会社がっと/ワイン食堂がっと 渋谷円山町店_利用者申込書.docx
ビストロ エヴォルテ_利用者申込書.docx,10478,92.0,tenpo,TENPO#0128,ビストロ エヴォルテ,TORI#0068,株式会社名店館,店舗ごと契約書/株式会社名店館/ビストロ エヴォルテ_利用者申込書.docx
