busho_id,name,jotai
BUSHO#0001,取締役会,yuko
BUSHO#0002,運営本部,yuko
BUSHO#0003,財務運営本部,yuko
BUSHO#0004,財務経理部,yuko
BUSHO#0005,総務部,yuko
BUSHO#0006,清掃事業部,yuko
BUSHO#0007,営業部,yuko
BUSHO#0008,事務経理部,yuko
BUSHO#0009,組織運営本部,yuko
BUSHO#0010,オペレーション設計部,yuko
BUSHO#0011,DX開発部,yuko
BUSHO#0012,デザイン制作部,yuko
BUSHO#0013,人事労務部,yuko
